player,year,clutch_score
I. Thomas,2017,2.705646810126601
D. DeRozan,2022,2.6693671223731417
D. Nowitzki,2006,2.6531009847923777
J. Smith,2008,2.5864621245259594
S. O'Neal,2000,2.339248541944848
M. Jordan,1998,2.3264547744998976
S. Curry,2023,2.3217135575358574
M. Bridges,2022,2.305666570036972
K. Bryant,2008,2.252415476297119
L. James,2008,2.187396809986873
D. Nowitzki,2003,2.1746124487268417
L. James,2006,2.171965036327744
M. Redd,2003,2.1677661309842375
L. James,2010,2.1559027047672283
S. Marion,2006,2.12367813061333
K. Durant,2011,2.110237070862884
M. Jordan,1997,2.1050431992349705
D. Harvey,2005,2.102470261619099
J. Smith,2009,2.099184535971062
L. James,2007,2.0976665493222835
J. Butler,2005,2.078950087234449
P. McCaw,2021,2.0751885535008334
K. Bryant,2006,2.0751034295930633
A. Stoudemire,2005,2.0739635980733704
C. Comanche,2023,2.0670194303711815
J. James,2008,2.059343271568319
R. Bowen,2010,2.0585334016028796
B. Key,2023,2.0544840517756815
M. Moore,1999,2.0544840517756815
C. Rogers,1999,2.0540967226617757
T. Thomas,2015,2.052054441879363
W. Selden,2022,2.049378349819649
R. LaRue,2004,2.0474121500769753
T. Gilder,2010,2.0463853521212854
E. Bohannon,2001,2.04630880645347
T. Wheeler,1999,2.045575482155846
M. Wayns,2014,2.0442022243883615
A. Brown,2018,2.043955742224967
N. Mitrou-Long,2018,2.043955742224967
S. Hill,2009,2.0431458722595273
J. Stokes,2017,2.042265578818832
S. Vrankovic,1999,2.0387796167936787
D. Liggins,2014,2.0382866524668897
M. Pope,2004,2.036257417792246
Zhou,2019,2.0358570425705707
A. Parker,1999,2.0358570425705707
A. Caver,2022,2.0358570425705707
E. Moreland,2015,2.035047172605131
E. Sumner,2018,2.035047172605131
R. Holcomb,2006,2.03265277444644
T. Terry,2022,2.032617562708812
S. Curry,2016,2.0316373971515516
J. Stone,2013,2.0284842786705126
D. Wagner,2007,2.0230690596191163
A. Davis,2015,2.0225794564674335
K. Perkins,2018,2.022505671817071
M. McClung,2022,2.0136904930249995
M. Walsh,2006,2.006871660310324
S. Scheffler,1997,1.9902042640272513
C. Moneke,2023,1.984682143412245
D. Zimmerman,2006,1.9834714335970536
A. Iverson,2001,1.9596386945087354
D. Wade,2006,1.94721371818351
A. Davis,2018,1.9407908630102095
R. Westbrook,2017,1.9222147918085848
D. Nowitzki,2011,1.9093393340745577
D. Nowitzki,2001,1.878822787039839
K. Irving,2023,1.8642618247650011
S. Marion,2003,1.8533077073448025
K. Malone,1998,1.8409371903053287
L. Williams,2017,1.8095464006411595
P. George,2019,1.8079834270858894
K. Bryant,2013,1.8062735639509084
G. Antetokounmpo,2019,1.7929889069696077
L. Williams,2018,1.7818883110539883
G. Arenas,2006,1.7718552529428688
E. Freedom,2016,1.7642449065975188
J. Smith,2013,1.7639307224931409
D. Nowitzki,2010,1.7613875427413168
K. Leonard,2017,1.7611250822081392
P. Pierce,2002,1.7595582221247212
G. Antetokounmpo,2021,1.7459043619908492
E. Gill,2009,1.7414197706003158
J. Smith,2011,1.7376584237436576
M. Williams,2009,1.7329475263020104
K. Durant,2012,1.7252891849514314
J. Crawford,2014,1.7240863501568888
G. Vasquez,2017,1.7201436908071832
L. James,2009,1.7193648982803893
L. James,2013,1.7166655710856924
K. Bryant,2003,1.7166107651391913
D. DeRozan,2023,1.7092097615838584
A. Davis,2023,1.7058468762537122
P. George,2014,1.7024966174979386
S. O'Neal,2001,1.6942357551743208
K. Durant,2013,1.6941081473326312
K. Bryant,2009,1.6885181830574854
D. Williams,2016,1.6880193538012775
B. Adebayo,2023,1.6861314625955535
A. Davis,2016,1.680353140855057
