player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year,clutch_score
L. James,0.468,0.5257383966244725,-0.0577383966244725,41.0,5.717391304347826,35.28260869565217,186.25,20.1108695652174,166.1391304347826,2020,75.99572195927352
T. Young,0.4361054766734279,0.4421518054532056,-0.0060463287797776,52.5,6.217391304347826,46.28260869565217,170.70000000000002,19.98260869565217,150.71739130434784,2020,66.10036001440956
J. Harden,0.4153439153439153,0.4574780058651026,-0.0421340905211872,36.5,6.086956521739131,30.413043478260867,170.0,26.66304347826087,143.33695652173913,2020,65.57322933806104
G. Antetokounmpo,0.56,0.5541825095057035,0.0058174904942965,29.0,4.282608695652174,24.717391304347828,159.09999999999997,21.65652173913044,137.44347826086954,2020,63.780006116713494
D. Lillard,0.4523076923076923,0.4614687216681777,-0.0091610293604854,16.5,3.8260869565217392,12.673913043478262,150.89999999999995,20.586956521739136,130.31304347826082,2020,62.61899082162661
M. Harrell,0.5888501742160279,0.5749588138385503,0.0138913603774776,15.5,1.934782608695652,13.565217391304348,138.45000000000002,11.965217391304344,126.48478260869568,2020,60.53351523420021
D. Mitchell,0.4444444444444444,0.4636194029850746,-0.0191749585406302,22.5,3.4782608695652173,19.02173913043478,143.59999999999997,15.58478260869565,128.0152173913043,2020,60.19750838200301
N. Jokic,0.509090909090909,0.5304428044280443,-0.0213518953371352,23.5,5.239130434782608,18.26086956521739,144.5,19.09565217391304,125.40434782608696,2020,59.043594431398866
C. Paul,0.5214285714285715,0.4770514603616133,0.0443771110669581,19.5,3.152173913043478,16.347826086956523,136.29999999999998,12.569565217391307,123.73043478260868,2020,58.60896530723313
B. Bogdanovic,0.4274611398963731,0.4483024691358024,-0.0208413292394293,25.5,4.5,21.0,143.95,18.604347826086965,125.34565217391302,2020,58.46657368818468
B. Adebayo,0.5915492957746479,0.5495608531994981,0.0419884425751497,25.0,4.3478260869565215,20.65217391304348,134.99999999999997,15.402173913043484,119.59782608695647,2020,55.68107479364209
J. Green,0.4451612903225806,0.4759759759759759,-0.0308146856533952,18.0,2.217391304347826,15.782608695652174,123.85,11.228260869565217,112.62173913043478,2020,53.14510342039094
J. Morant,0.5392156862745098,0.4476479514415781,0.0915677348329316,36.5,3.369565217391304,33.130434782608695,125.70000000000002,6.982608695652175,118.71739130434784,2020,52.76007901610206
S. Gilgeous-Alexander,0.5141700404858299,0.4545454545454545,0.0596245859403753,18.5,2.4347826086956523,16.065217391304348,123.15000000000003,13.506521739130436,109.6434782608696,2020,51.62658302795604
J. Tatum,0.4475920679886686,0.4465617232808616,0.0010303447078069,31.0,3.0217391304347827,27.97826086956522,130.75000000000003,19.549999999999997,111.20000000000005,2020,50.00465692949932
J. Butler,0.4136546184738955,0.4800995024875621,-0.0664448840136666,19.5,3.1956521739130435,16.304347826086957,118.09999999999997,18.828260869565224,99.27173913043474,2020,46.35506653479588
K. Leonard,0.4519572953736654,0.4785714285714286,-0.0266141331977631,19.5,3.108695652173913,16.391304347826086,120.35000000000002,21.30652173913043,99.0434782608696,2020,46.23549402091026
D. DeRozan,0.5280898876404494,0.5319693094629157,-0.0038794218224662,15.0,2.891304347826087,12.108695652173914,110.25,14.90217391304348,95.34782608695652,2020,45.25101008649674
A. Davis,0.4470588235294118,0.535,-0.0879411764705882,12.5,3.9565217391304346,8.543478260869566,120.79999999999998,27.29130434782609,93.50869565217388,2020,45.01926982097185
R. Gobert,0.6666666666666666,0.694331983805668,-0.0276653171390013,8.5,2.5869565217391304,5.913043478260869,107.50000000000004,15.256521739130434,92.2434782608696,2020,44.930830839640926
